Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
andorra-2003-2004,1,2003-09-21,,sunday,CE Principat,FC Rànger's,1,7,8,A,L,W,,,,,,,
andorra-2003-2004,1,2003-09-21,,sunday,Inter Club d'Escaldes,FC Encamp,0,2,2,A,L,W,,,,,,,
andorra-2003-2004,1,2003-09-21,,sunday,UE Engordany,FC Lusitanos la Posa,0,2,2,A,L,W,,,,,,,
andorra-2003-2004,1,2003-09-21,,sunday,UE Sant Julià,FC Santa Coloma,2,0,2,H,W,L,,,,,,,
andorra-2003-2004,2,2003-09-28,,sunday,FC Encamp,CE Principat,0,1,1,A,L,W,,,,,,,
andorra-2003-2004,2,2003-09-28,,sunday,Inter Club d'Escaldes,UE Sant Julià,1,4,5,A,L,W,,,,,,,
andorra-2003-2004,2,2003-09-28,,sunday,FC Santa Coloma,FC Lusitanos la Posa,1,0,1,H,W,L,,,,,,,
andorra-2003-2004,2,2003-09-28,,sunday,FC Rànger's,UE Engordany,2,0,2,H,W,L,,,,,,,
andorra-2003-2004,3,2003-10-05,,sunday,UE Engordany,FC Santa Coloma,0,9,9,A,L,W,,,,,,,
andorra-2003-2004,3,2003-10-05,,sunday,Inter Club d'Escaldes,CE Principat,1,2,3,A,L,W,,,,,,,
andorra-2003-2004,3,2003-10-05,,sunday,UE Sant Julià,FC Rànger's,0,0,0,D,D,D,0,0,0,D,D,D,
andorra-2003-2004,3,2003-10-05,,sunday,FC Lusitanos la Posa,FC Encamp,0,1,1,A,L,W,,,,,,,
andorra-2003-2004,4,2003-10-12,,sunday,FC Santa Coloma,FC Rànger's,3,2,5,H,W,L,,,,,,,
andorra-2003-2004,4,2003-10-12,,sunday,CE Principat,UE Sant Julià,1,3,4,A,L,W,,,,,,,
andorra-2003-2004,4,2003-10-12,,sunday,FC Lusitanos la Posa,Inter Club d'Escaldes,2,1,3,H,W,L,,,,,,,
andorra-2003-2004,4,2003-10-13,,monday,FC Encamp,UE Engordany,5,1,6,H,W,L,,,,,,,
andorra-2003-2004,5,2003-10-19,,sunday,Inter Club d'Escaldes,UE Engordany,1,3,4,A,L,W,,,,,,,
andorra-2003-2004,5,2003-10-19,,sunday,UE Sant Julià,FC Lusitanos la Posa,4,0,4,H,W,L,,,,,,,
andorra-2003-2004,5,2003-10-19,,sunday,FC Santa Coloma,CE Principat,4,0,4,H,W,L,,,,,,,
andorra-2003-2004,5,2003-10-19,,sunday,FC Rànger's,FC Encamp,2,0,2,H,W,L,,,,,,,
andorra-2003-2004,6,2003-10-26,,sunday,UE Engordany,UE Sant Julià,0,9,9,A,L,W,,,,,,,
andorra-2003-2004,6,2003-10-26,,sunday,CE Principat,FC Lusitanos la Posa,1,1,2,D,D,D,,,,,,,
andorra-2003-2004,6,2003-10-26,,sunday,Inter Club d'Escaldes,FC Rànger's,0,3,3,A,L,W,,,,,,,
andorra-2003-2004,6,2003-10-26,,sunday,FC Encamp,FC Santa Coloma,4,1,5,H,W,L,,,,,,,
andorra-2003-2004,7,2003-11-09,,sunday,CE Principat,UE Engordany,7,1,8,H,W,L,,,,,,,
andorra-2003-2004,7,2003-11-09,,sunday,FC Santa Coloma,Inter Club d'Escaldes,5,2,7,H,W,L,,,,,,,
andorra-2003-2004,7,2003-11-09,,sunday,FC Lusitanos la Posa,FC Rànger's,2,4,6,A,L,W,,,,,,,
andorra-2003-2004,7,2003-11-09,,sunday,UE Sant Julià,FC Encamp,1,0,1,H,W,L,,,,,,,
andorra-2003-2004,8,2003-11-16,,sunday,FC Rànger's,CE Principat,0,1,1,A,L,W,,,,,,,
andorra-2003-2004,8,2003-11-16,,sunday,FC Encamp,Inter Club d'Escaldes,2,1,3,H,W,L,,,,,,,
andorra-2003-2004,8,2003-11-16,,sunday,FC Lusitanos la Posa,UE Engordany,2,1,3,H,W,L,,,,,,,
andorra-2003-2004,8,2003-11-16,,sunday,FC Santa Coloma,UE Sant Julià,2,1,3,H,W,L,,,,,,,
andorra-2003-2004,9,2003-11-23,,sunday,CE Principat,FC Encamp,1,3,4,A,L,W,,,,,,,
andorra-2003-2004,9,2003-11-23,,sunday,UE Sant Julià,Inter Club d'Escaldes,3,0,3,H,W,L,,,,,,,
andorra-2003-2004,9,2003-11-23,,sunday,FC Lusitanos la Posa,FC Santa Coloma,0,1,1,A,L,W,,,,,,,
andorra-2003-2004,9,2003-11-23,,sunday,UE Engordany,FC Rànger's,1,5,6,A,L,W,,,,,,,
