Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
australia-1977,1,1977-04-02,,saturday,Canberra City,West Adelaide Hellas,1,3,4,A,L,W,,,,,,,
australia-1977,1,1977-04-02,,saturday,Footscray JUST,St George-Budapest SC,0,0,0,D,D,D,0,0,0,D,D,D,
australia-1977,1,1977-04-02,,saturday,Sydney Olympic SC,South Melbourne Hellas,0,2,2,A,L,W,,,,,,,
australia-1977,1,1977-04-03,,sunday,Adelaide City FC,Brisbane Lions,0,0,0,D,D,D,0,0,0,D,D,D,
australia-1977,1,1977-04-03,,sunday,Brisbane City SC,Marconi-Fairfield,0,1,1,A,L,W,,,,,,,
australia-1977,1,1977-04-03,,sunday,Western Suburbs,Mooroolbark FC,5,0,5,H,W,L,,,,,,,
australia-1977,1,1977-04-03,,sunday,Fitzroy United SC,Eastern Suburbs Hakoah,1,3,4,A,L,W,,,,,,,
australia-1977,2,1977-04-10,,sunday,Eastern Suburbs Hakoah,Footscray JUST,4,3,7,H,W,L,,,,,,,
australia-1977,2,1977-04-10,,sunday,Mooroolbark FC,Sydney Olympic SC,1,1,2,D,D,D,,,,,,,
australia-1977,2,1977-04-10,,sunday,Brisbane Lions,Canberra City,0,1,1,A,L,W,,,,,,,
australia-1977,2,1977-04-11,,monday,Marconi-Fairfield,Adelaide City FC,0,4,4,A,L,W,,,,,,,
australia-1977,2,1977-04-11,,monday,St George-Budapest SC,Brisbane City SC,3,2,5,H,W,L,,,,,,,
australia-1977,2,1977-04-11,,monday,West Adelaide Hellas,Western Suburbs,0,1,1,A,L,W,,,,,,,
australia-1977,2,1977-04-11,,monday,South Melbourne Hellas,Fitzroy United SC,1,1,2,D,D,D,,,,,,,
australia-1977,3,1977-04-17,,sunday,Fitzroy United SC,Mooroolbark FC,2,0,2,H,W,L,,,,,,,
australia-1977,3,1977-04-17,,sunday,St George-Budapest SC,Marconi-Fairfield,1,3,4,A,L,W,,,,,,,
australia-1977,3,1977-04-18,,monday,Adelaide City FC,Canberra City,2,0,2,H,W,L,,,,,,,
australia-1977,3,1977-04-18,,monday,Brisbane City SC,Eastern Suburbs Hakoah,0,0,0,D,D,D,0,0,0,D,D,D,
australia-1977,3,1977-04-18,,monday,Footscray JUST,South Melbourne Hellas,2,2,4,D,D,D,,,,,,,
australia-1977,3,1977-04-18,,monday,Sydney Olympic SC,West Adelaide Hellas,0,4,4,A,L,W,,,,,,,
australia-1977,3,1977-04-18,,monday,Western Suburbs,Brisbane Lions,3,0,3,H,W,L,,,,,,,
australia-1977,4,1977-04-24,,sunday,Canberra City,Western Suburbs,0,3,3,A,L,W,,,,,,,
australia-1977,4,1977-04-24,,sunday,St George-Budapest SC,Adelaide City FC,0,2,2,A,L,W,,,,,,,
australia-1977,4,1977-04-24,,sunday,South Melbourne Hellas,Brisbane City SC,0,1,1,A,L,W,,,,,,,
australia-1977,4,1977-04-25,,monday,Brisbane Lions,Sydney Olympic SC,0,2,2,A,L,W,,,,,,,
australia-1977,4,1977-04-25,,monday,Eastern Suburbs Hakoah,Marconi-Fairfield,2,4,6,A,L,W,,,,,,,
