Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
canada-2008,Matches,2008-05-28,00:30,wednesday,Impact de Montréal,Toronto FC,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2008-spiele-impact-de-montreal-toronto-fc/
canada-2008,Matches,2008-06-18,00:30,wednesday,Impact de Montréal,Vancouver Whitecaps,2,0,2,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/canadian-championship-2008-spiele-impact-de-montreal-vancouver-whitecaps/
canada-2008,Matches,2008-06-26,04:00,thursday,Vancouver Whitecaps,Impact de Montréal,0,2,2,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/canadian-championship-2008-spiele-vancouver-whitecaps-impact-de-montreal/
canada-2008,Matches,2008-07-01,21:00,tuesday,Toronto FC,Vancouver Whitecaps,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/canadian-championship-2008-spiele-toronto-fc-vancouver-whitecaps/
canada-2008,Matches,2008-07-10,03:00,thursday,Vancouver Whitecaps,Toronto FC,2,2,4,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/canadian-championship-2008-spiele-vancouver-whitecaps-toronto-fc/
canada-2008,Matches,2008-07-23,00:00,wednesday,Toronto FC,Impact de Montréal,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/canadian-championship-2008-spiele-toronto-fc-impact-de-montreal/
canada-2009,Matches,2009-05-07,01:00,thursday,Toronto FC,Vancouver Whitecaps,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/canadian-championship-2009-spiele-toronto-fc-vancouver-whitecaps/
canada-2009,Matches,2009-05-14,01:00,thursday,Toronto FC,Impact de Montréal,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/canadian-championship-2009-spiele-toronto-fc-impact-de-montreal/
canada-2009,Matches,2009-05-21,01:00,thursday,Impact de Montréal,Vancouver Whitecaps,0,2,2,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/canadian-championship-2009-spiele-impact-de-montreal-vancouver-whitecaps/
canada-2009,Matches,2009-05-28,03:30,thursday,Vancouver Whitecaps,Impact de Montréal,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2009-spiele-vancouver-whitecaps-impact-de-montreal/
canada-2009,Matches,2009-06-03,03:30,wednesday,Vancouver Whitecaps,Toronto FC,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/canadian-championship-2009-spiele-vancouver-whitecaps-toronto-fc/
canada-2009,Matches,2009-06-19,01:00,friday,Impact de Montréal,Toronto FC,1,6,7,A,L,W,1,2,3,A,L,W,http://www.worldfootball.net/report/canadian-championship-2009-spiele-impact-de-montreal-toronto-fc/
canada-2010,Matches,2010-04-29,01:00,thursday,Toronto FC,Impact de Montréal,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/canadian-championship-2010-spiele-toronto-fc-impact-de-montreal/
canada-2010,Matches,2010-05-06,00:30,thursday,Vancouver Whitecaps,Impact de Montréal,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/canadian-championship-2010-spiele-vancouver-whitecaps-impact-de-montreal/
canada-2010,Matches,2010-05-13,01:00,thursday,Impact de Montréal,Toronto FC,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2010-spiele-impact-de-montreal-toronto-fc/
canada-2010,Matches,2010-05-20,03:30,thursday,Vancouver Whitecaps,Toronto FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2010-spiele-vancouver-whitecaps-toronto-fc/
canada-2010,Matches,2010-05-27,03:00,thursday,Impact de Montréal,Vancouver Whitecaps,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2010-spiele-impact-de-montreal-vancouver-whitecaps/
canada-2010,Matches,2010-06-03,01:00,thursday,Toronto FC,Vancouver Whitecaps,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2010-spiele-toronto-fc-vancouver-whitecaps/
canada-2011,Semi-finals,2011-04-28,01:00,thursday,FC Edmonton,Toronto FC,0,3,3,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/canadian-championship-2011-halbfinale-fc-edmonton-toronto-fc/
canada-2011,Semi-finals,2011-04-28,01:00,thursday,Impact de Montréal,Vancouver Whitecaps,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2011-halbfinale-impact-de-montreal-vancouver-whitecaps/
canada-2011,Semi-finals,2011-05-05,01:00,thursday,Toronto FC,FC Edmonton,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/canadian-championship-2011-halbfinale-toronto-fc-fc-edmonton/
canada-2011,Semi-finals,2011-05-05,04:10,thursday,Vancouver Whitecaps,Impact de Montréal,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2011-halbfinale-vancouver-whitecaps-impact-de-montreal/
canada-2011,Final,2011-05-19,03:00,thursday,Vancouver Whitecaps,Toronto FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2011-finale-vancouver-whitecaps-toronto-fc/
canada-2011,Final,2011-07-02,17:30,saturday,Toronto FC,Vancouver Whitecaps,2,1,3,H,W,L,0,1,1,A,L,W,http://www.worldfootball.net/report/canadian-championship-2011-finale-toronto-fc-vancouver-whitecaps/
canada-2012,Semi-finals,2012-05-03,01:00,thursday,Impact de Montréal,Toronto FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/canadian-championship-2012-halbfinale-impact-de-montreal-toronto-fc/
