Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
croatia-1992,1,1992-02-29,,saturday,HNK Rijeka,HNK Šibenik,2,0,2,H,W,L,,,,,,,
croatia-1992,1,1992-02-29,,saturday,NK Osijek,NK Zagreb,1,0,1,H,W,L,,,,,,,
croatia-1992,1,1992-02-29,,saturday,NK Inker Zaprešić,NK Varteks,1,3,4,A,L,W,,,,,,,
croatia-1992,1,1992-02-29,,saturday,Hajduk Split,NK Istra Pula,3,1,4,H,W,L,,,,,,,
croatia-1992,1,1992-02-29,,saturday,HAŠK-Građanski,HNK Cibalia,2,0,2,H,W,L,,,,,,,
croatia-1992,1,1992-02-29,,saturday,HNK Dubrovnik,NK Zadar,0,2,2,A,L,W,,,,,,,
croatia-1992,2,1992-03-07,,saturday,NK Zagreb,NK Inker Zaprešić,2,0,2,H,W,L,,,,,,,
croatia-1992,2,1992-03-07,,saturday,NK Zadar,NK Varteks,2,1,3,H,W,L,,,,,,,
croatia-1992,2,1992-03-07,,saturday,NK Istra Pula,HNK Rijeka,1,1,2,D,D,D,,,,,,,
croatia-1992,2,1992-03-07,,saturday,HNK Dubrovnik,HAŠK-Građanski,0,3,3,A,L,W,,,,,,,
croatia-1992,2,1992-03-07,,saturday,HNK Cibalia,Hajduk Split,0,2,2,A,L,W,,,,,,,
croatia-1992,2,1992-03-07,,saturday,HNK Šibenik,NK Osijek,0,2,2,A,L,W,,,,,,,
croatia-1992,3,1992-03-11,,wednesday,NK Varteks,NK Zagreb,2,1,3,H,W,L,,,,,,,
croatia-1992,3,1992-03-11,,wednesday,HNK Rijeka,HNK Cibalia,1,0,1,H,W,L,,,,,,,
croatia-1992,3,1992-03-11,,wednesday,NK Osijek,NK Istra Pula,0,1,1,A,L,W,,,,,,,
croatia-1992,3,1992-03-11,,wednesday,NK Inker Zaprešić,HNK Šibenik,6,0,6,H,W,L,,,,,,,
croatia-1992,3,1992-03-11,,wednesday,Hajduk Split,HNK Dubrovnik,9,0,9,H,W,L,,,,,,,
croatia-1992,3,1992-03-11,,wednesday,HAŠK-Građanski,NK Zadar,3,0,3,H,W,L,,,,,,,
croatia-1992,4,1992-03-14,,saturday,NK Zadar,NK Zagreb,0,4,4,A,L,W,,,,,,,
croatia-1992,4,1992-03-14,,saturday,NK Istra Pula,NK Inker Zaprešić,2,0,2,H,W,L,,,,,,,
croatia-1992,4,1992-03-14,,saturday,HAŠK-Građanski,Hajduk Split,1,2,3,A,L,W,,,,,,,
croatia-1992,4,1992-03-14,,saturday,HNK Dubrovnik,HNK Rijeka,0,1,1,A,L,W,,,,,,,
croatia-1992,4,1992-03-14,,saturday,HNK Cibalia,NK Osijek,1,1,2,D,D,D,,,,,,,
croatia-1992,4,1992-03-14,,saturday,HNK Šibenik,NK Varteks,2,2,4,D,D,D,,,,,,,
croatia-1992,5,1992-03-17,,tuesday,NK Zagreb,HNK Šibenik,3,0,3,H,W,L,,,,,,,
croatia-1992,5,1992-03-17,,tuesday,NK Varteks,NK Istra Pula,1,1,2,D,D,D,,,,,,,
croatia-1992,5,1992-03-17,,tuesday,HNK Rijeka,HAŠK-Građanski,1,0,1,H,W,L,,,,,,,
croatia-1992,5,1992-03-17,,tuesday,NK Osijek,HNK Dubrovnik,1,0,1,H,W,L,,,,,,,
croatia-1992,5,1992-03-17,,tuesday,NK Inker Zaprešić,HNK Cibalia,0,0,0,D,D,D,0,0,0,D,D,D,
croatia-1992,5,1992-03-17,,tuesday,Hajduk Split,NK Zadar,2,0,2,H,W,L,,,,,,,
croatia-1992,6,1992-03-21,,saturday,NK Zadar,HNK Šibenik,1,1,2,D,D,D,,,,,,,
croatia-1992,6,1992-03-21,,saturday,NK Istra Pula,NK Zagreb,0,2,2,A,L,W,,,,,,,
croatia-1992,6,1992-03-21,,saturday,Hajduk Split,HNK Rijeka,3,0,3,H,W,L,,,,,,,
croatia-1992,6,1992-03-21,,saturday,HAŠK-Građanski,NK Osijek,2,0,2,H,W,L,,,,,,,
croatia-1992,6,1992-03-21,,saturday,HNK Dubrovnik,NK Inker Zaprešić,0,3,3,A,L,W,,,,,,,
croatia-1992,6,1992-03-21,,saturday,HNK Cibalia,NK Varteks,2,1,3,H,W,L,,,,,,,
croatia-1992,7,1992-03-28,,saturday,NK Zagreb,HNK Cibalia,2,1,3,H,W,L,,,,,,,
croatia-1992,7,1992-03-28,,saturday,NK Varteks,HNK Dubrovnik,2,0,2,H,W,L,,,,,,,
croatia-1992,7,1992-03-28,,saturday,HNK Rijeka,NK Zadar,4,1,5,H,W,L,,,,,,,
croatia-1992,7,1992-03-28,,saturday,NK Osijek,Hajduk Split,3,3,6,D,D,D,,,,,,,
croatia-1992,7,1992-03-28,,saturday,NK Inker Zaprešić,HAŠK-Građanski,2,1,3,H,W,L,,,,,,,
croatia-1992,7,1992-03-28,,saturday,HNK Šibenik,NK Istra Pula,0,0,0,D,D,D,0,0,0,D,D,D,
croatia-1992,8,1992-03-31,,tuesday,NK Zadar,NK Istra Pula,0,1,1,A,L,W,,,,,,,
croatia-1992,8,1992-03-31,,tuesday,HNK Rijeka,NK Osijek,2,0,2,H,W,L,,,,,,,
croatia-1992,8,1992-03-31,,tuesday,Hajduk Split,NK Inker Zaprešić,0,2,2,A,L,W,,,,,,,
croatia-1992,8,1992-03-31,,tuesday,HAŠK-Građanski,NK Varteks,4,0,4,H,W,L,,,,,,,
croatia-1992,8,1992-03-31,,tuesday,HNK Dubrovnik,NK Zagreb,0,0,0,D,D,D,0,0,0,D,D,D,
croatia-1992,8,1992-03-31,,tuesday,HNK Cibalia,HNK Šibenik,0,0,0,D,D,D,0,0,0,D,D,D,
croatia-1992,9,1992-04-04,,saturday,NK Zagreb,HAŠK-Građanski,2,0,2,H,W,L,,,,,,,
