Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
czech republic-1993-1994,1,1993-08-14,,199308140000,saturday,Baník Ostrava,SKP Fomei Hradec Kralove,3,0,3,H,W,L,,,,,,,
czech republic-1993-1994,1,1993-08-14,,199308140000,saturday,Slovan Liberec,Viktoria Žižkov,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
czech republic-1993-1994,1,1993-08-14,,199308140000,saturday,Sparta Praha,Boby Brno,5,1,6,H,W,L,,,,,,,
czech republic-1993-1994,1,1993-08-14,,199308140000,saturday,Viktoria Plzeň,Slavia Praha,0,2,2,A,L,W,,,,,,,
czech republic-1993-1994,1,1993-08-15,,199308150000,sunday,České Budějovice,FC Vítkovice,1,0,1,H,W,L,,,,,,,
czech republic-1993-1994,1,1993-08-15,,199308150000,sunday,FC Bohemians Praha,Sigma Olomouc,2,1,3,H,W,L,,,,,,,
czech republic-1993-1994,1,1993-08-15,,199308150000,sunday,FC Petra Drnovice,Union Cheb,2,1,3,H,W,L,,,,,,,
czech republic-1993-1994,1,1993-08-15,,199308150000,sunday,Svit Zlin,Dukla Praha,3,0,3,H,W,L,,,,,,,
czech republic-1993-1994,2,1993-08-20,,199308200000,friday,Boby Brno,FC Petra Drnovice,1,2,3,A,L,W,,,,,,,
czech republic-1993-1994,2,1993-08-21,,199308210000,saturday,Dukla Praha,FC Bohemians Praha,1,2,3,A,L,W,,,,,,,
czech republic-1993-1994,2,1993-08-21,,199308210000,saturday,Slovan Liberec,Viktoria Plzeň,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
czech republic-1993-1994,2,1993-08-22,,199308220000,sunday,SKP Fomei Hradec Kralove,Sparta Praha,0,2,2,A,L,W,,,,,,,
czech republic-1993-1994,2,1993-08-22,,199308220000,sunday,Sigma Olomouc,Baník Ostrava,1,1,2,D,D,D,,,,,,,
czech republic-1993-1994,2,1993-08-22,,199308220000,sunday,Slavia Praha,České Budějovice,1,1,2,D,D,D,,,,,,,
czech republic-1993-1994,2,1993-08-22,,199308220000,sunday,FC Vítkovice,Svit Zlin,3,2,5,H,W,L,,,,,,,
czech republic-1993-1994,2,1993-08-22,,199308220000,sunday,Viktoria Žižkov,Union Cheb,0,1,1,A,L,W,,,,,,,
czech republic-1993-1994,3,1993-08-29,,199308290000,sunday,České Budějovice,Slovan Liberec,2,1,3,H,W,L,,,,,,,
czech republic-1993-1994,3,1993-08-29,,199308290000,sunday,Baník Ostrava,Dukla Praha,4,1,5,H,W,L,,,,,,,
czech republic-1993-1994,3,1993-08-29,,199308290000,sunday,FC Bohemians Praha,FC Vítkovice,1,1,2,D,D,D,,,,,,,
czech republic-1993-1994,3,1993-08-29,,199308290000,sunday,FC Petra Drnovice,SKP Fomei Hradec Kralove,1,0,1,H,W,L,,,,,,,
czech republic-1993-1994,3,1993-08-29,,199308290000,sunday,Svit Zlin,Slavia Praha,0,1,1,A,L,W,,,,,,,
czech republic-1993-1994,3,1993-08-29,,199308290000,sunday,Union Cheb,Boby Brno,1,1,2,D,D,D,,,,,,,
czech republic-1993-1994,3,1993-08-29,,199308290000,sunday,Viktoria Plzeň,Viktoria Žižkov,1,1,2,D,D,D,,,,,,,
czech republic-1993-1994,3,1993-08-30,,199308300000,monday,Sparta Praha,Sigma Olomouc,2,1,3,H,W,L,,,,,,,
czech republic-1993-1994,4,1993-09-02,,199309020000,thursday,Slavia Praha,FC Bohemians Praha,2,3,5,A,L,W,,,,,,,
czech republic-1993-1994,4,1993-09-03,,199309030000,friday,Dukla Praha,Sparta Praha,2,6,8,A,L,W,,,,,,,
czech republic-1993-1994,4,1993-09-03,,199309030000,friday,SKP Fomei Hradec Kralove,Union Cheb,1,3,4,A,L,W,,,,,,,
