Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
gibraltar-2013-2014,2,2013-10-07,19:00,201310071900,monday,Glacis United FC,Lions Gibraltar,3,2,5,H,W,L,,,,,,,
gibraltar-2013-2014,2,2013-10-11,19:00,201310111900,friday,Lynx FC,St. Joseph's FC,3,1,4,H,W,L,,,,,,,
gibraltar-2013-2014,1,2013-10-26,15:00,201310261500,saturday,College Europa FC,Gibraltar Phoenix,3,1,4,H,W,L,,,,,,,
gibraltar-2013-2014,3,2013-11-01,19:00,201311011900,friday,Lions Gibraltar,Manchester 62 FC,3,1,4,H,W,L,,,,,,,
gibraltar-2013-2014,3,2013-11-02,15:00,201311021500,saturday,St. Joseph's FC,College Europa FC,0,1,1,A,L,W,,,,,,,
gibraltar-2013-2014,3,2013-11-02,17:00,201311021700,saturday,Glacis United FC,Gibraltar Phoenix,3,0,3,H,W,L,,,,,,,
gibraltar-2013-2014,3,2013-11-04,19:00,201311041900,monday,Lynx FC,Lincoln Red Imps,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
gibraltar-2013-2014,4,2013-11-08,19:00,201311081900,friday,Gibraltar Phoenix,Lions Gibraltar,2,6,8,A,L,W,,,,,,,
gibraltar-2013-2014,4,2013-11-09,15:00,201311091500,saturday,College Europa FC,Lincoln Red Imps,1,1,2,D,D,D,,,,,,,
gibraltar-2013-2014,4,2013-11-09,17:00,201311091700,saturday,Manchester 62 FC,Lynx FC,3,2,5,H,W,L,,,,,,,
gibraltar-2013-2014,4,2013-11-09,19:00,201311091900,saturday,Glacis United FC,St. Joseph's FC,1,0,1,H,W,L,,,,,,,
gibraltar-2013-2014,5,2013-11-22,19:00,201311221900,friday,Manchester 62 FC,Gibraltar Phoenix,5,0,5,H,W,L,,,,,,,
gibraltar-2013-2014,5,2013-11-23,15:00,201311231500,saturday,Lynx FC,College Europa FC,3,2,5,H,W,L,,,,,,,
gibraltar-2013-2014,5,2013-11-23,17:00,201311231700,saturday,Lincoln Red Imps,Glacis United FC,4,0,4,H,W,L,,,,,,,
gibraltar-2013-2014,5,2013-11-25,19:00,201311251900,monday,Lions Gibraltar,St. Joseph's FC,3,2,5,H,W,L,,,,,,,
gibraltar-2013-2014,6,2013-11-29,19:00,201311291900,friday,Glacis United FC,College Europa FC,0,2,2,A,L,W,,,,,,,
gibraltar-2013-2014,6,2013-11-30,15:00,201311301500,saturday,St. Joseph's FC,Manchester 62 FC,0,3,3,A,L,W,,,,,,,
gibraltar-2013-2014,6,2013-11-30,17:00,201311301700,saturday,Gibraltar Phoenix,Lynx FC,0,7,7,A,L,W,,,,,,,
gibraltar-2013-2014,6,2013-12-02,19:00,201312021900,monday,Lions Gibraltar,Lincoln Red Imps,0,4,4,A,L,W,,,,,,,
gibraltar-2013-2014,7,2013-12-04,19:00,201312041900,wednesday,Gibraltar Phoenix,St. Joseph's FC,0,4,4,A,L,W,,,,,,,
gibraltar-2013-2014,2,2013-12-06,19:00,201312061900,friday,College Europa FC,Manchester 62 FC,1,1,2,D,D,D,,,,,,,
gibraltar-2013-2014,1,2013-12-08,15:00,201312081500,sunday,Lions Gibraltar,Lynx FC,0,2,2,A,L,W,,,,,,,
gibraltar-2013-2014,7,2013-12-13,19:00,201312131900,friday,College Europa FC,Lions Gibraltar,1,1,2,D,D,D,,,,,,,
gibraltar-2013-2014,7,2013-12-14,15:00,201312141500,saturday,Manchester 62 FC,Lincoln Red Imps,0,1,1,A,L,W,,,,,,,
gibraltar-2013-2014,7,2013-12-14,17:00,201312141700,saturday,Lynx FC,Glacis United FC,4,1,5,H,W,L,,,,,,,
gibraltar-2013-2014,1,2014-01-18,17:00,201401181700,saturday,Manchester 62 FC,Glacis United FC,2,1,3,H,W,L,,,,,,,
gibraltar-2013-2014,1,2014-01-18,19:00,201401181900,saturday,Lincoln Red Imps,St. Joseph's FC,5,0,5,H,W,L,,,,,,,
gibraltar-2013-2014,8,2014-02-08,17:00,201402081700,saturday,Gibraltar Phoenix,Lincoln Red Imps,0,16,16,A,L,W,,,,,,,
gibraltar-2013-2014,8,2014-02-10,19:00,201402101900,monday,Lions Gibraltar,Glacis United FC,3,4,7,A,L,W,,,,,,,
gibraltar-2013-2014,8,2014-02-14,19:00,201402141900,friday,Manchester 62 FC,College Europa FC,2,0,2,H,W,L,,,,,,,
gibraltar-2013-2014,8,2014-02-15,15:00,201402151500,saturday,St. Joseph's FC,Lynx FC,2,3,5,A,L,W,,,,,,,
gibraltar-2013-2014,2,2014-02-15,17:00,201402151700,saturday,Lincoln Red Imps,Gibraltar Phoenix,16,1,17,H,W,L,,,,,,,
gibraltar-2013-2014,9,2014-03-14,19:00,201403141900,friday,Gibraltar Phoenix,College Europa FC,0,11,11,A,L,W,,,,,,,
gibraltar-2013-2014,9,2014-03-15,15:00,201403151500,saturday,Glacis United FC,Manchester 62 FC,0,7,7,A,L,W,,,,,,,
gibraltar-2013-2014,9,2014-03-15,17:00,201403151700,saturday,St. Joseph's FC,Lincoln Red Imps,0,4,4,A,L,W,,,,,,,
gibraltar-2013-2014,9,2014-03-17,19:00,201403171900,monday,Lynx FC,Lions Gibraltar,1,0,1,H,W,L,,,,,,,
gibraltar-2013-2014,10,2014-03-21,19:00,201403211900,friday,Lincoln Red Imps,Lynx FC,3,0,3,H,W,L,,,,,,,
gibraltar-2013-2014,10,2014-03-22,15:00,201403221500,saturday,Manchester 62 FC,Lions Gibraltar,4,0,4,H,W,L,,,,,,,
gibraltar-2013-2014,10,2014-03-22,17:00,201403221700,saturday,College Europa FC,St. Joseph's FC,2,4,6,A,L,W,,,,,,,
gibraltar-2013-2014,10,2014-03-24,19:00,201403241900,monday,Gibraltar Phoenix,Glacis United FC,2,3,5,A,L,W,,,,,,,
gibraltar-2013-2014,11,2014-03-28,19:00,201403281900,friday,Lincoln Red Imps,College Europa FC,2,0,2,H,W,L,,,,,,,
gibraltar-2013-2014,11,2014-03-29,15:00,201403291500,saturday,Lions Gibraltar,Gibraltar Phoenix,1,0,1,H,W,L,,,,,,,
