Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
honduras-2009-2010-apertura,1,2009-07-19,02:30,200907190230,sunday,CD Marathón,Hispano FC,2,1,3,H,W,L,,,,,,,
honduras-2009-2010-apertura,1,2009-07-19,02:30,200907190230,sunday,CD Victoria,Real España,1,1,2,D,D,D,,,,,,,
honduras-2009-2010-apertura,1,2009-07-19,21:00,200907192100,sunday,Deportes Savio,CDS Vida,0,1,1,A,L,W,,,,,,,
honduras-2009-2010-apertura,1,2009-07-19,22:00,200907192200,sunday,CD Platense,CD Olimpia,1,1,2,D,D,D,,,,,,,
honduras-2009-2010-apertura,1,2009-07-19,23:00,200907192300,sunday,CD Motagua,CD Real Juventud,2,0,2,H,W,L,,,,,,,
honduras-2009-2010-apertura,2,2009-07-22,23:30,200907222330,wednesday,CD Real Juventud,CD Victoria,2,2,4,D,D,D,,,,,,,
honduras-2009-2010-apertura,2,2009-07-23,01:00,200907230100,thursday,CD Motagua,Deportes Savio,3,1,4,H,W,L,,,,,,,
honduras-2009-2010-apertura,2,2009-07-23,01:00,200907230100,thursday,CD Platense,CD Marathón,0,1,1,A,L,W,,,,,,,
honduras-2009-2010-apertura,2,2009-07-23,02:30,200907230230,thursday,Real España,Hispano FC,3,2,5,H,W,L,,,,,,,
honduras-2009-2010-apertura,2,2009-07-23,02:30,200907230230,thursday,CDS Vida,CD Olimpia,1,2,3,A,L,W,,,,,,,
honduras-2009-2010-apertura,3,2009-07-26,00:00,200907260000,sunday,Hispano FC,CDS Vida,2,2,4,D,D,D,,,,,,,
honduras-2009-2010-apertura,3,2009-07-26,02:30,200907260230,sunday,CD Marathón,CD Real Juventud,4,1,5,H,W,L,,,,,,,
honduras-2009-2010-apertura,3,2009-07-26,02:30,200907260230,sunday,CD Victoria,CD Platense,4,0,4,H,W,L,,,,,,,
honduras-2009-2010-apertura,3,2009-07-26,21:00,200907262100,sunday,Deportes Savio,Real España,1,0,1,H,W,L,,,,,,,
honduras-2009-2010-apertura,3,2009-07-26,23:00,200907262300,sunday,CD Olimpia,CD Motagua,0,0,0,D,D,D,0,0,0,D,D,D,
