Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
india-2014,1,2014-10-12,14:30,sunday,Atlético de Kolkata,Mumbai City FC,3,0,3,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-atletico-de-kolkata-mumbai-city-fc/
india-2014,1,2014-10-13,14:30,monday,NorthEast United FC,Kerala Blasters,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-northeast-united-fc-kerala-blasters/
india-2014,1,2014-10-14,14:30,tuesday,Delhi Dynamos FC,FC Pune City,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/indian-super-league-2014-delhi-dynamos-fc-fc-pune-city/
india-2014,1,2014-10-15,14:30,wednesday,FC Goa,Chennaiyin FC,1,2,3,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/indian-super-league-2014-fc-goa-chennaiyin-fc/
india-2014,1,2014-10-16,14:30,thursday,NorthEast United FC,Atlético de Kolkata,0,2,2,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/indian-super-league-2014-northeast-united-fc-atletico-de-kolkata/
india-2014,1,2014-10-18,14:30,saturday,Mumbai City FC,FC Pune City,5,0,5,H,W,L,3,0,3,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-mumbai-city-fc-fc-pune-city/
india-2014,1,2014-10-19,12:00,sunday,Atlético de Kolkata,Delhi Dynamos FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/indian-super-league-2014-atletico-de-kolkata-delhi-dynamos-fc/
india-2014,1,2014-10-19,14:30,sunday,NorthEast United FC,FC Goa,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/indian-super-league-2014-northeast-united-fc-fc-goa/
india-2014,1,2014-10-21,14:30,tuesday,Chennaiyin FC,Kerala Blasters,2,1,3,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-chennaiyin-fc-kerala-blasters/
india-2014,1,2014-10-23,14:30,thursday,FC Goa,Atlético de Kolkata,1,2,3,A,L,W,1,0,1,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-fc-goa-atletico-de-kolkata/
india-2014,1,2014-10-24,14:30,friday,Mumbai City FC,NorthEast United FC,0,2,2,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/indian-super-league-2014-mumbai-city-fc-northeast-united-fc/
india-2014,1,2014-10-25,14:30,saturday,Delhi Dynamos FC,Chennaiyin FC,4,1,5,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-delhi-dynamos-fc-chennaiyin-fc/
india-2014,1,2014-10-26,11:00,sunday,Atlético de Kolkata,Kerala Blasters,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/indian-super-league-2014-atletico-de-kolkata-kerala-blasters/
india-2014,1,2014-10-26,13:30,sunday,FC Pune City,FC Goa,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-fc-pune-city-fc-goa/
india-2014,1,2014-10-28,13:30,tuesday,Chennaiyin FC,Mumbai City FC,5,1,6,H,W,L,4,0,4,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-chennaiyin-fc-mumbai-city-fc/
india-2014,1,2014-10-29,13:30,wednesday,Delhi Dynamos FC,NorthEast United FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/indian-super-league-2014-delhi-dynamos-fc-northeast-united-fc/
india-2014,1,2014-10-30,13:30,thursday,FC Pune City,Kerala Blasters,1,2,3,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/indian-super-league-2014-fc-pune-city-kerala-blasters/
india-2014,2,2014-11-01,13:30,saturday,FC Goa,Delhi Dynamos FC,2,1,3,H,W,L,0,1,1,A,L,W,http://www.worldfootball.net/report/indian-super-league-2014-fc-goa-delhi-dynamos-fc/
india-2014,2,2014-11-02,13:30,sunday,Mumbai City FC,Kerala Blasters,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/indian-super-league-2014-mumbai-city-fc-kerala-blasters/
