Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
macedonia-2003-2004,1,2003-08-08,,friday,FK Belasica,Cementarnica Skopje,4,4,8,D,D,D,,,,,,,
macedonia-2003-2004,1,2003-08-09,,saturday,Vardar Skopje,Bregalnica Delcevo,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,1,2003-08-10,,sunday,Sileks Kratovo,FK Sloga Jugomagnat,2,2,4,D,D,D,,,,,,,
macedonia-2003-2004,1,2003-08-10,,sunday,GFK Tikveš,FK Rabotnički,0,1,1,A,L,W,,,,,,,
macedonia-2003-2004,1,2003-08-10,,sunday,FK Bashkimi,FK Pobeda,3,5,8,A,L,W,,,,,,,
macedonia-2003-2004,1,2003-08-10,,sunday,FK Madzari 92,Napredok Kičevo,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,2,2003-08-17,,sunday,FK Sloga Jugomagnat,FK Pobeda,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,2,2003-08-17,,sunday,Napredok Kičevo,GFK Tikveš,4,1,5,H,W,L,,,,,,,
macedonia-2003-2004,2,2003-08-17,,sunday,FK Rabotnički,FK Bashkimi,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,2,2003-08-17,,sunday,Sileks Kratovo,Vardar Skopje,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,2,2003-08-17,,sunday,Cementarnica Skopje,FK Madzari 92,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,2,2003-08-17,,sunday,Bregalnica Delcevo,FK Belasica,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,3,2003-08-23,,saturday,Vardar Skopje,FK Sloga Jugomagnat,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,3,2003-08-24,,sunday,FK Pobeda,FK Rabotnički,3,3,6,D,D,D,,,,,,,
macedonia-2003-2004,3,2003-08-24,,sunday,FK Belasica,Sileks Kratovo,4,0,4,H,W,L,,,,,,,
macedonia-2003-2004,3,2003-08-24,,sunday,GFK Tikveš,Cementarnica Skopje,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,3,2003-08-24,,sunday,FK Bashkimi,Napredok Kičevo,1,2,3,A,L,W,,,,,,,
macedonia-2003-2004,3,2003-08-24,,sunday,FK Madzari 92,Bregalnica Delcevo,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,4,2003-08-31,,sunday,Vardar Skopje,FK Belasica,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,4,2003-08-31,,sunday,FK Sloga Jugomagnat,FK Rabotnički,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,4,2003-08-31,,sunday,Napredok Kičevo,FK Pobeda,1,6,7,A,L,W,,,,,,,
macedonia-2003-2004,4,2003-08-31,,sunday,Sileks Kratovo,FK Madzari 92,3,0,3,H,W,L,,,,,,,
macedonia-2003-2004,4,2003-08-31,,sunday,Cementarnica Skopje,FK Bashkimi,4,0,4,H,W,L,,,,,,,
macedonia-2003-2004,4,2003-08-31,,sunday,Bregalnica Delcevo,GFK Tikveš,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,5,2003-09-13,,saturday,FK Pobeda,Cementarnica Skopje,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,5,2003-09-14,,sunday,FK Rabotnički,Napredok Kičevo,3,4,7,A,L,W,,,,,,,
macedonia-2003-2004,5,2003-09-14,,sunday,FK Belasica,FK Sloga Jugomagnat,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,5,2003-09-14,,sunday,GFK Tikveš,Sileks Kratovo,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,5,2003-09-14,,sunday,FK Bashkimi,Bregalnica Delcevo,3,3,6,D,D,D,,,,,,,
macedonia-2003-2004,5,2003-09-14,,sunday,FK Madzari 92,Vardar Skopje,0,1,1,A,L,W,,,,,,,
macedonia-2003-2004,6,2003-09-17,,wednesday,Vardar Skopje,GFK Tikveš,3,1,4,H,W,L,,,,,,,
macedonia-2003-2004,6,2003-09-17,,wednesday,FK Sloga Jugomagnat,Napredok Kičevo,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,6,2003-09-17,,wednesday,Sileks Kratovo,FK Bashkimi,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,6,2003-09-17,,wednesday,FK Belasica,FK Madzari 92,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,6,2003-09-17,,wednesday,Cementarnica Skopje,FK Rabotnički,2,2,4,D,D,D,,,,,,,
macedonia-2003-2004,6,2003-09-17,,wednesday,Bregalnica Delcevo,FK Pobeda,0,3,3,A,L,W,,,,,,,
macedonia-2003-2004,7,2003-09-20,,saturday,Napredok Kičevo,Cementarnica Skopje,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,7,2003-09-21,,sunday,FK Pobeda,Sileks Kratovo,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,7,2003-09-21,,sunday,FK Rabotnički,Bregalnica Delcevo,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,7,2003-09-21,,sunday,GFK Tikveš,FK Belasica,0,1,1,A,L,W,,,,,,,
macedonia-2003-2004,7,2003-09-21,,sunday,FK Madzari 92,FK Sloga Jugomagnat,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,7,2003-09-21,,sunday,FK Bashkimi,Vardar Skopje,0,3,3,A,L,W,,,,,,,
macedonia-2003-2004,8,2003-09-28,,sunday,Vardar Skopje,FK Pobeda,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,8,2003-09-28,,sunday,FK Sloga Jugomagnat,Cementarnica Skopje,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,8,2003-09-28,,sunday,Sileks Kratovo,FK Rabotnički,4,3,7,H,W,L,,,,,,,
macedonia-2003-2004,8,2003-09-28,,sunday,FK Belasica,FK Bashkimi,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,8,2003-09-28,,sunday,Bregalnica Delcevo,Napredok Kičevo,0,3,3,A,L,W,,,,,,,
macedonia-2003-2004,8,2003-09-28,,sunday,FK Madzari 92,GFK Tikveš,3,0,3,H,W,L,,,,,,,
macedonia-2003-2004,9,2003-10-05,,sunday,FK Pobeda,FK Belasica,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,9,2003-10-05,,sunday,Napredok Kičevo,Sileks Kratovo,0,1,1,A,L,W,,,,,,,
macedonia-2003-2004,9,2003-10-05,,sunday,FK Rabotnički,Vardar Skopje,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,9,2003-10-05,,sunday,Cementarnica Skopje,Bregalnica Delcevo,5,1,6,H,W,L,,,,,,,
macedonia-2003-2004,9,2003-10-05,,sunday,GFK Tikveš,FK Sloga Jugomagnat,0,3,3,A,L,W,,,,,,,
macedonia-2003-2004,9,2003-10-05,,sunday,FK Bashkimi,FK Madzari 92,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,10,2003-10-19,,sunday,Vardar Skopje,Napredok Kičevo,4,1,5,H,W,L,,,,,,,
macedonia-2003-2004,10,2003-10-19,,sunday,FK Sloga Jugomagnat,Bregalnica Delcevo,12,1,13,H,W,L,,,,,,,
macedonia-2003-2004,10,2003-10-19,,sunday,Sileks Kratovo,Cementarnica Skopje,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,10,2003-10-19,,sunday,FK Belasica,FK Rabotnički,3,5,8,A,L,W,,,,,,,
macedonia-2003-2004,10,2003-10-19,,sunday,FK Madzari 92,FK Pobeda,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,10,2003-10-25,,saturday,GFK Tikveš,FK Bashkimi,3,0,3,H,W,L,,,,,,,
macedonia-2003-2004,11,2003-10-29,,wednesday,FK Pobeda,GFK Tikveš,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,11,2003-10-29,,wednesday,Napredok Kičevo,FK Belasica,2,2,4,D,D,D,,,,,,,
macedonia-2003-2004,11,2003-10-29,,wednesday,FK Rabotnički,FK Madzari 92,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,11,2003-10-29,,wednesday,Cementarnica Skopje,Vardar Skopje,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,11,2003-10-29,,wednesday,Bregalnica Delcevo,Sileks Kratovo,0,5,5,A,L,W,,,,,,,
macedonia-2003-2004,11,2003-10-29,,wednesday,FK Bashkimi,FK Sloga Jugomagnat,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,12,2003-11-02,,sunday,Cementarnica Skopje,FK Belasica,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,12,2003-11-02,,sunday,Bregalnica Delcevo,Vardar Skopje,1,3,4,A,L,W,,,,,,,
macedonia-2003-2004,12,2003-11-02,,sunday,FK Sloga Jugomagnat,Sileks Kratovo,4,1,5,H,W,L,,,,,,,
macedonia-2003-2004,12,2003-11-02,,sunday,FK Rabotnički,GFK Tikveš,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,12,2003-11-02,,sunday,FK Pobeda,FK Bashkimi,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,12,2003-11-02,,sunday,Napredok Kičevo,FK Madzari 92,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,13,2003-11-05,,wednesday,FK Pobeda,FK Sloga Jugomagnat,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,13,2003-11-05,,wednesday,GFK Tikveš,Napredok Kičevo,0,1,1,A,L,W,,,,,,,
macedonia-2003-2004,13,2003-11-05,,wednesday,FK Bashkimi,FK Rabotnički,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,13,2003-11-05,,wednesday,Vardar Skopje,Sileks Kratovo,0,3,3,A,L,W,,,,,,,
macedonia-2003-2004,13,2003-11-05,,wednesday,FK Madzari 92,Cementarnica Skopje,1,2,3,A,L,W,,,,,,,
macedonia-2003-2004,13,2003-11-05,,wednesday,FK Belasica,Bregalnica Delcevo,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,14,2003-11-09,,sunday,FK Sloga Jugomagnat,Vardar Skopje,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,14,2003-11-09,,sunday,FK Rabotnički,FK Pobeda,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,14,2003-11-09,,sunday,Sileks Kratovo,FK Belasica,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,14,2003-11-09,,sunday,Cementarnica Skopje,GFK Tikveš,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,14,2003-11-09,,sunday,Napredok Kičevo,FK Bashkimi,3,2,5,H,W,L,,,,,,,
macedonia-2003-2004,14,2003-11-09,,sunday,Bregalnica Delcevo,FK Madzari 92,0,5,5,A,L,W,,,,,,,
macedonia-2003-2004,15,2003-11-16,,sunday,FK Belasica,Vardar Skopje,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,15,2003-11-16,,sunday,FK Rabotnički,FK Sloga Jugomagnat,4,0,4,H,W,L,,,,,,,
macedonia-2003-2004,15,2003-11-16,,sunday,FK Pobeda,Napredok Kičevo,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,15,2003-11-16,,sunday,FK Madzari 92,Sileks Kratovo,1,2,3,A,L,W,,,,,,,
macedonia-2003-2004,15,2003-11-16,,sunday,FK Bashkimi,Cementarnica Skopje,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,15,2003-11-16,,sunday,GFK Tikveš,Bregalnica Delcevo,5,0,5,H,W,L,,,,,,,
macedonia-2003-2004,16,2003-11-22,,saturday,Cementarnica Skopje,FK Pobeda,2,0,2,H,W,L,,,,,,,
macedonia-2003-2004,16,2003-11-22,,saturday,Vardar Skopje,FK Madzari 92,0,0,0,D,D,D,0,0,0,D,D,D,
macedonia-2003-2004,16,2003-11-23,,sunday,Napredok Kičevo,FK Rabotnički,0,1,1,A,L,W,,,,,,,
macedonia-2003-2004,16,2003-11-23,,sunday,FK Sloga Jugomagnat,FK Belasica,3,0,3,H,W,L,,,,,,,
macedonia-2003-2004,16,2003-11-23,,sunday,Sileks Kratovo,GFK Tikveš,4,0,4,H,W,L,,,,,,,
macedonia-2003-2004,16,2003-11-23,,sunday,Bregalnica Delcevo,FK Bashkimi,1,3,4,A,L,W,,,,,,,
macedonia-2003-2004,17,2003-11-29,,saturday,FK Pobeda,Bregalnica Delcevo,8,1,9,H,W,L,,,,,,,
macedonia-2003-2004,17,2003-11-30,,sunday,GFK Tikveš,Vardar Skopje,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,17,2003-11-30,,sunday,Napredok Kičevo,FK Sloga Jugomagnat,1,3,4,A,L,W,,,,,,,
macedonia-2003-2004,17,2003-11-30,,sunday,FK Bashkimi,Sileks Kratovo,2,1,3,H,W,L,,,,,,,
macedonia-2003-2004,17,2003-11-30,,sunday,FK Madzari 92,FK Belasica,1,0,1,H,W,L,,,,,,,
macedonia-2003-2004,17,2003-11-30,,sunday,FK Rabotnički,Cementarnica Skopje,1,1,2,D,D,D,,,,,,,
macedonia-2003-2004,18,2004-03-06,,saturday,Bregalnica Delcevo,FK Rabotnički,0,3,3,A,L,W,,,,,,,
macedonia-2003-2004,18,2004-03-07,,sunday,Sileks Kratovo,FK Pobeda,1,2,3,A,L,W,,,,,,,
