Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
slovenia-2003-2004,1,2003-07-20,16:30,sunday,NK Publikum Celje,ND Gorica,2,1,3,H,W,L,,,,,,,
slovenia-2003-2004,1,2003-07-20,16:30,sunday,NK Drava,NK Domžale,0,2,2,A,L,W,,,,,,,
slovenia-2003-2004,1,2003-07-20,16:30,sunday,NK Mura Murska Sobota,NK Dravograd,3,1,4,H,W,L,,,,,,,
slovenia-2003-2004,1,2003-07-20,16:30,sunday,NK Primorje,NK Šmartno,3,2,5,H,W,L,,,,,,,
slovenia-2003-2004,1,2003-07-20,19:30,sunday,Olimpija Ljubljana,NK Maribor,6,1,7,H,W,L,,,,,,,
slovenia-2003-2004,1,2003-07-22,17:00,tuesday,FC Anet Koper,NK Factor Ljubljana,1,0,1,H,W,L,,,,,,,
slovenia-2003-2004,2,2003-07-26,19:00,saturday,ND Gorica,NK Šmartno,3,1,4,H,W,L,,,,,,,
slovenia-2003-2004,2,2003-07-26,19:15,saturday,NK Maribor,NK Drava,4,1,5,H,W,L,,,,,,,
slovenia-2003-2004,2,2003-07-27,16:30,sunday,NK Publikum Celje,NK Mura Murska Sobota,3,2,5,H,W,L,,,,,,,
slovenia-2003-2004,2,2003-07-27,16:30,sunday,NK Dravograd,Olimpija Ljubljana,1,0,1,H,W,L,,,,,,,
slovenia-2003-2004,2,2003-07-27,16:30,sunday,NK Factor Ljubljana,NK Primorje,0,4,4,A,L,W,,,,,,,
slovenia-2003-2004,3,2003-08-02,19:30,saturday,FC Anet Koper,NK Maribor,0,1,1,A,L,W,,,,,,,
slovenia-2003-2004,3,2003-08-02,19:30,saturday,Olimpija Ljubljana,NK Publikum Celje,2,2,4,D,D,D,,,,,,,
slovenia-2003-2004,3,2003-08-03,16:30,sunday,NK Drava,NK Dravograd,3,1,4,H,W,L,,,,,,,
slovenia-2003-2004,3,2003-08-03,16:30,sunday,NK Mura Murska Sobota,ND Gorica,2,2,4,D,D,D,,,,,,,
slovenia-2003-2004,3,2003-08-03,16:30,sunday,NK Primorje,NK Domžale,6,0,6,H,W,L,,,,,,,
slovenia-2003-2004,3,2003-08-03,16:30,sunday,NK Šmartno,NK Factor Ljubljana,3,1,4,H,W,L,,,,,,,
slovenia-2003-2004,4,2003-08-08,19:00,friday,ND Gorica,NK Factor Ljubljana,5,0,5,H,W,L,,,,,,,
slovenia-2003-2004,4,2003-08-09,16:00,saturday,NK Domžale,NK Šmartno,2,1,3,H,W,L,,,,,,,
slovenia-2003-2004,4,2003-08-09,16:00,saturday,NK Mura Murska Sobota,Olimpija Ljubljana,0,4,4,A,L,W,,,,,,,
slovenia-2003-2004,4,2003-08-10,16:00,sunday,NK Publikum Celje,NK Drava,3,1,4,H,W,L,,,,,,,
slovenia-2003-2004,4,2003-08-10,16:00,sunday,NK Dravograd,FC Anet Koper,0,1,1,A,L,W,,,,,,,
slovenia-2003-2004,4,2003-08-10,18:00,sunday,NK Maribor,NK Primorje,2,1,3,H,W,L,,,,,,,
slovenia-2003-2004,2,2003-08-13,16:00,wednesday,NK Domžale,FC Anet Koper,0,3,3,A,L,W,,,,,,,
slovenia-2003-2004,5,2003-08-17,16:00,sunday,NK Šmartno,NK Maribor,0,0,0,D,D,D,0,0,0,D,D,D,
slovenia-2003-2004,5,2003-08-17,16:00,sunday,NK Drava,NK Mura Murska Sobota,2,3,5,A,L,W,,,,,,,
slovenia-2003-2004,5,2003-08-17,16:00,sunday,NK Primorje,NK Dravograd,2,2,4,D,D,D,,,,,,,
slovenia-2003-2004,5,2003-08-17,16:00,sunday,NK Factor Ljubljana,NK Domžale,3,0,3,H,W,L,,,,,,,
slovenia-2003-2004,5,2003-08-17,16:30,sunday,FC Anet Koper,NK Publikum Celje,0,0,0,D,D,D,0,0,0,D,D,D,
slovenia-2003-2004,5,2003-08-17,19:00,sunday,Olimpija Ljubljana,ND Gorica,0,3,3,A,L,W,,,,,,,
slovenia-2003-2004,6,2003-08-22,19:00,friday,Olimpija Ljubljana,NK Drava,1,0,1,H,W,L,,,,,,,
slovenia-2003-2004,6,2003-08-23,19:00,saturday,ND Gorica,NK Domžale,3,0,3,H,W,L,,,,,,,
slovenia-2003-2004,6,2003-08-24,16:00,sunday,NK Dravograd,NK Šmartno,1,4,5,A,L,W,,,,,,,
slovenia-2003-2004,6,2003-08-24,16:00,sunday,NK Publikum Celje,NK Primorje,2,4,6,A,L,W,,,,,,,
slovenia-2003-2004,6,2003-08-24,16:00,sunday,NK Mura Murska Sobota,FC Anet Koper,0,1,1,A,L,W,,,,,,,
slovenia-2003-2004,6,2003-08-24,18:00,sunday,NK Maribor,NK Factor Ljubljana,2,1,3,H,W,L,,,,,,,
slovenia-2003-2004,7,2003-08-30,16:00,saturday,NK Primorje,NK Mura Murska Sobota,4,0,4,H,W,L,,,,,,,
slovenia-2003-2004,7,2003-08-31,16:00,sunday,NK Šmartno,NK Publikum Celje,2,0,2,H,W,L,,,,,,,
slovenia-2003-2004,7,2003-08-31,16:00,sunday,NK Drava,ND Gorica,2,4,6,A,L,W,,,,,,,
slovenia-2003-2004,7,2003-08-31,16:00,sunday,NK Domžale,NK Maribor,0,1,1,A,L,W,,,,,,,
slovenia-2003-2004,7,2003-08-31,16:00,sunday,FC Anet Koper,Olimpija Ljubljana,1,1,2,D,D,D,,,,,,,
slovenia-2003-2004,7,2003-08-31,16:00,sunday,NK Factor Ljubljana,NK Dravograd,1,3,4,A,L,W,,,,,,,
