Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
south korea-2004,1,2004-04-03,07:00,saturday,Incheon United,Jeonbuk FC,0,0,0,D,D,D,0,0,0,D,D,D,
south korea-2004,1,2004-04-03,07:00,saturday,Daejeon Citizen,Pohang Steelers,0,1,1,A,L,W,,,,,,,
south korea-2004,1,2004-04-03,07:00,saturday,Gwangju Sangmu,Seongnam Ilhwa Chunma,1,0,1,H,W,L,,,,,,,
south korea-2004,1,2004-04-03,07:00,saturday,Chunnam Dragons,Daegu FC,4,1,5,H,W,L,,,,,,,
south korea-2004,1,2004-04-03,07:00,saturday,Bucheon SK,Ulsan Hyundai,0,1,1,A,L,W,,,,,,,
south korea-2004,1,2004-04-03,07:00,saturday,FC Seoul,Busan I'Cons,1,1,2,D,D,D,,,,,,,
south korea-2004,2,2004-04-10,07:00,saturday,Busan I'Cons,Bucheon SK,0,0,0,D,D,D,0,0,0,D,D,D,
south korea-2004,2,2004-04-10,07:00,saturday,Ulsan Hyundai,Chunnam Dragons,1,1,2,D,D,D,,,,,,,
south korea-2004,2,2004-04-10,07:00,saturday,Daegu FC,Gwangju Sangmu,4,2,6,H,W,L,,,,,,,
south korea-2004,2,2004-04-10,07:00,saturday,Seongnam Ilhwa Chunma,Daejeon Citizen,2,1,3,H,W,L,,,,,,,
south korea-2004,2,2004-04-10,07:00,saturday,Pohang Steelers,Incheon United,2,1,3,H,W,L,,,,,,,
south korea-2004,2,2004-04-10,07:00,saturday,Jeonbuk FC,Suwon Bluewings,1,1,2,D,D,D,,,,,,,
south korea-2004,3,2004-04-17,07:00,saturday,Incheon United,Seongnam Ilhwa Chunma,1,0,1,H,W,L,,,,,,,
south korea-2004,3,2004-04-17,07:00,saturday,Daejeon Citizen,Daegu FC,1,1,2,D,D,D,,,,,,,
south korea-2004,3,2004-04-17,07:00,saturday,Gwangju Sangmu,Ulsan Hyundai,0,0,0,D,D,D,0,0,0,D,D,D,
south korea-2004,3,2004-04-17,07:00,saturday,Chunnam Dragons,Busan I'Cons,0,1,1,A,L,W,,,,,,,
south korea-2004,3,2004-04-17,07:00,saturday,Bucheon SK,FC Seoul,1,1,2,D,D,D,,,,,,,
south korea-2004,3,2004-04-17,07:00,saturday,Suwon Bluewings,Pohang Steelers,1,2,3,A,L,W,,,,,,,
