Div,Round,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
portugal-2004-2005,1,2004-08-28,19:15,Os Belenenses,CS Marítimo,3,0,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-os-belenenses-cs-maritimo/
portugal-2004-2005,1,2004-08-28,21:15,Sporting CP,Gil Vicente,3,2,5,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-sporting-cp-gil-vicente/
portugal-2004-2005,1,2004-08-29,16:00,FC Penafiel,Vitória Setúbal,1,4,5,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/primeira-liga-2004-2005-fc-penafiel-vitoria-setubal/
portugal-2004-2005,1,2004-08-29,16:00,GD Estoril,Rio Ave FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/primeira-liga-2004-2005-gd-estoril-rio-ave-fc/
portugal-2004-2005,1,2004-08-29,17:00,Moreirense FC,Vitória Guimarães,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/primeira-liga-2004-2005-moreirense-fc-vitoria-guimaraes/
portugal-2004-2005,1,2004-08-29,18:00,Boavista,CD Nacional,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/primeira-liga-2004-2005-boavista-cd-nacional/
portugal-2004-2005,1,2004-08-29,20:30,SC Beira-Mar,SL Benfica,2,3,5,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/primeira-liga-2004-2005-sc-beira-mar-sl-benfica/
portugal-2004-2005,1,2004-08-30,20:30,Académica de Coimbra,Sporting Braga,2,2,4,D,D,D,1,2,3,A,L,W,http://www.worldfootball.net/report/primeira-liga-2004-2005-academica-de-coimbra-sporting-braga/
portugal-2004-2005,2,2004-09-05,16:00,Vitória Guimarães,Académica de Coimbra,2,1,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-vitoria-guimaraes-academica-de-coimbra/
portugal-2004-2005,2,2004-09-10,21:30,Gil Vicente,Boavista,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/primeira-liga-2004-2005-gil-vicente-boavista/
portugal-2004-2005,2,2004-09-11,16:00,CS Marítimo,FC Penafiel,3,0,3,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-cs-maritimo-fc-penafiel/
portugal-2004-2005,2,2004-09-11,18:00,União Leiria,GD Estoril,4,2,6,H,W,L,2,1,3,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-uniao-leiria-gd-estoril/
portugal-2004-2005,2,2004-09-11,19:00,Sporting Braga,FC Porto,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/primeira-liga-2004-2005-sporting-braga-fc-porto/
portugal-2004-2005,2,2004-09-11,21:15,SL Benfica,Moreirense FC,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-sl-benfica-moreirense-fc/
portugal-2004-2005,2,2004-09-12,16:00,CD Nacional,SC Beira-Mar,2,1,3,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/primeira-liga-2004-2005-cd-nacional-sc-beira-mar/
portugal-2004-2005,2,2004-09-12,19:30,Vitória Setúbal,Sporting CP,2,0,2,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/primeira-liga-2004-2005-vitoria-setubal-sporting-cp/
portugal-2004-2005,2,2004-09-13,20:30,Rio Ave FC,Os Belenenses,3,3,6,D,D,D,2,0,2,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-rio-ave-fc-os-belenenses/
portugal-2004-2005,3,2004-09-17,21:30,Boavista,Vitória Setúbal,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-boavista-vitoria-setubal/
portugal-2004-2005,3,2004-09-18,21:15,FC Porto,GD Estoril,2,2,4,D,D,D,1,2,3,A,L,W,http://www.worldfootball.net/report/primeira-liga-2004-2005-fc-porto-gd-estoril/
portugal-2004-2005,3,2004-09-19,16:00,Os Belenenses,União Leiria,2,1,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-os-belenenses-uniao-leiria/
portugal-2004-2005,3,2004-09-19,16:00,SC Beira-Mar,Gil Vicente,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-sc-beira-mar-gil-vicente/
portugal-2004-2005,3,2004-09-19,16:00,FC Penafiel,Rio Ave FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/primeira-liga-2004-2005-fc-penafiel-rio-ave-fc/
portugal-2004-2005,3,2004-09-19,16:00,Moreirense FC,CD Nacional,3,2,5,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/primeira-liga-2004-2005-moreirense-fc-cd-nacional/
